link,rounds,win,team1_rank,team1_form_avg_latest,team1_form_range_latest,team1_form_sd_latest,team1_form_avg_event,team1_form_range_event,team1_form_sd_event,team1_win_round_percent,team1_win_ct,team1_win_t,team1_win_percent_map,team1_win_pistol_rounds,team1_lost_in_wins,team1_won_in_losses,team2_rank,team2_form_avg_latest,team2_form_range_latest,team2_form_sd_latest,team2_form_avg_event,team2_form_range_event,team2_form_sd_event,team2_win_round_percent,team2_win_ct,team2_win_t,team2_win_percent_map,team2_win_pistol_rounds,team2_lost_in_wins,team2_won_in_losses
https://www.hltv.org/matches/2342398/heroic-vs-og-cs-summit-6-europe,0.5,2.0,23,1.104,0.11999999999999987,0.04615192303685725,1.104,0.21,0.08264381404557752,58.3,49.0,51.0,69.2,46.2,8.11,14.0,21,1.0539999999999998,0.1399999999999999,0.06107372593840985,1.102,0.1399999999999999,0.05215361924162115,50.1,39.88,60.12,46.2,38.5,8.67,11.0
https://www.hltv.org/matches/2342682/cr4zy-vs-nemiga-winners-league-season-4-europe,0.3125,2.0,79,1.0619999999999998,0.23,0.1066302021005306,1.118,0.29000000000000004,0.12029131306956455,50.2,59.35,40.65,55.6,44.4,10.5,10.75,24,1.098,0.1399999999999999,0.054497706373754805,1.2719999999999998,0.2799999999999998,0.10940749517286276,59.4,49.78,50.22,80.0,60.0,8.65,13.0
https://www.hltv.org/matches/2342703/ago-vs-syman-eden-arena-malta-vibes-cup-1,0.4375,1.0,47,1.048,0.25,0.08983317872590282,0.968,0.45,0.1793599732381782,44.4,54.97,45.03,18.8,50.0,10.33,10.2,39,0.976,0.16000000000000006,0.062289646009589764,0.6839999999999999,0.34,0.13740451229854134,43.7,51.56,48.44,30.0,30.0,15.67,10.14
https://www.hltv.org/matches/2342395/vitality-vs-big-cs-summit-6-europe,0.875,2.0,2,1.082,0.3300000000000001,0.13479614237803692,1.2260000000000002,0.3499999999999999,0.14638989036132238,49.7,53.8,46.2,50.0,54.2,11.83,11.0,7,1.15,0.16999999999999993,0.0827647267862342,1.122,0.21,0.07661592523751179,55.3,50.68,49.32,68.4,65.8,9.75,11.5
https://www.hltv.org/matches/2342421/liquid-vs-evil-geniuses-cs-summit-6-north-america,0.875,2.0,10,1.0639999999999998,0.2499999999999999,0.10163660757817523,1.048,0.17999999999999994,0.06760177512462226,53.2,53.04,46.96,50.0,68.8,7.75,13.0,8,1.06,0.1499999999999999,0.06284902544988266,1.1640000000000001,0.18999999999999995,0.06804410334481599,54.2,53.12,46.88,100.0,75.0,13.5,0.0
https://www.hltv.org/matches/2342615/nemiga-vs-sprout-hellcase-cup-8,0.5,1.0,24,1.1,0.1399999999999999,0.057879184513951076,1.156,0.25,0.10502380682492896,59.8,49.37,50.63,80.6,59.7,8.36,13.0,38,1.0779999999999998,0.11999999999999987,0.05215361924162112,1.124,0.08999999999999986,0.03507135583350029,54.9,44.59,55.41,73.1,57.7,9.0,7.2
https://www.hltv.org/matches/2342401/og-vs-big-cs-summit-6-europe,0.3125,2.0,21,1.0659999999999998,0.1399999999999999,0.05941380311005176,1.108,0.08999999999999986,0.035637059362410864,51.2,41.27,58.73,50.0,35.7,8.57,11.0,7,1.142,0.17999999999999994,0.08497058314499198,1.082,0.1499999999999999,0.06760177512462225,55.2,50.65,49.35,70.0,67.5,10.08,11.5
https://www.hltv.org/matches/2342710/nemiga-vs-espada-winners-league-season-4-europe,0.75,1.0,24,1.1,0.1399999999999999,0.057879184513951076,1.3159999999999998,0.28,0.12720062892926276,59.8,49.37,50.63,80.6,59.7,8.36,13.0,34,1.0419999999999998,0.2599999999999999,0.09833615815151614,1.214,0.3499999999999999,0.1320227253165151,52.2,52.82,47.18,57.9,65.8,10.64,14.43
https://www.hltv.org/matches/2342714/forze-vs-ago-eden-arena-malta-vibes-cup-1,0.5,2.0,25,1.068,0.1499999999999999,0.06610597552415362,1.314,0.3599999999999999,0.1548547706723948,53.5,54.66,45.34,59.1,43.2,9.0,11.25,47,1.058,0.24,0.085848704125339,1.1960000000000002,0.28,0.12033287165193055,45.7,53.62,46.38,23.5,47.1,9.5,10.2
https://www.hltv.org/matches/2342422/geng-vs-liquid-cs-summit-6-north-america,0.8125,1.0,18,1.006,0.16000000000000006,0.06985699678629195,1.06,0.24,0.10416333327999826,53.0,50.41,49.59,75.0,43.8,13.2,10.5,10,1.0539999999999998,0.2399999999999999,0.09736529155710462,1.0139999999999998,0.19000000000000009,0.07266360849833982,52.4,51.16,48.84,44.4,72.2,7.75,13.25
https://www.hltv.org/matches/2342613/sprout-vs-hard-legion-hellcase-cup-8,0.875,2.0,38,1.0759999999999998,0.10999999999999988,0.048270073544588656,1.1020000000000003,0.06000000000000005,0.024899799195977488,54.2,45.5,54.5,70.4,57.4,9.0,7.33,29,1.024,0.20000000000000007,0.08443932733033824,1.032,0.2899999999999999,0.12275992831539125,49.1,50.0,50.0,40.0,75.0,11.75,10.83
https://www.hltv.org/matches/2342614/nemiga-vs-hard-legion-hellcase-cup-8,0.8421052631578947,2.0,24,1.0959999999999999,0.1399999999999999,0.055497747702046386,1.128,0.15999999999999992,0.0661059755241536,59.9,49.61,50.39,81.8,59.1,8.5,13.0,29,1.028,0.20999999999999985,0.08555699854482972,1.042,0.26,0.11054410884348384,49.5,50.0,50.0,45.5,68.2,12.2,10.83
https://www.hltv.org/matches/2342818/hard-legion-vs-gambit-youngsters-nine-to-five-1,0.5625,2.0,31,1.028,0.21000000000000008,0.08584870412533906,1.156,0.21,0.08848728722251571,52.1,50.0,50.0,54.5,68.2,9.67,10.2,30,1.086,0.28,0.12895735729302146,1.074,0.39,0.16071714283174646,54.1,57.77,42.23,71.4,50.0,11.1,10.0
https://www.hltv.org/matches/2343159/renegades-vs-order-dreamhack-open-summer-2020-oceania,0.625,1.0,61,1.116,0.30000000000000004,0.14518953130305232,1.188,0.3999999999999999,0.1608415369237685,61.0,60.94,39.06,100.0,62.5,10.33,0.0,66,1.178,0.22,0.08584870412533901,1.214,0.17999999999999994,0.07924645102463579,60.5,66.29,33.71,83.3,66.7,8.33,9.0
https://www.hltv.org/matches/2343131/big-vs-endpoint-dreamhack-open-summer-2020-europe,0.1875,1.0,1,1.124,0.16999999999999993,0.07503332592921623,1.124,0.16999999999999993,0.07503332592921623,55.1,50.82,49.18,68.8,62.5,9.78,11.8,42,1.062,0.17999999999999994,0.07563068160475611,1.062,0.17999999999999994,0.07563068160475611,46.2,53.85,46.15,50.0,37.5,12.38,7.25
https://www.hltv.org/matches/2343132/heroic-vs-mad-lions-dreamhack-open-summer-2020-europe,0.5,1.0,19,1.104,0.1399999999999999,0.05458937625582468,1.104,0.1399999999999999,0.05458937625582468,56.7,48.08,51.92,64.3,50.0,8.11,12.8,23,1.0180000000000002,0.2699999999999999,0.10425929215182693,1.0180000000000002,0.2699999999999999,0.10425929215182693,51.0,47.52,52.48,57.1,57.1,11.0,12.33
https://www.hltv.org/matches/2343129/complexity-vs-forze-dreamhack-open-summer-2020-europe,0.8947368421052632,2.0,10,1.148,0.3200000000000001,0.1143241006962224,1.148,0.3200000000000001,0.1143241006962224,55.2,50.88,49.12,60.9,54.3,8.93,11.86,28,1.0759999999999998,0.17999999999999994,0.07231873892705816,1.0759999999999998,0.17999999999999994,0.07231873892705816,54.4,52.28,47.72,64.7,47.1,10.25,10.83
